t_s,Ia,Ib,Ic,Vdc,theta,enc_angle
1774332908.335325,0.02000,-0.61000,0.59000,23.94000,5.87210,0.00070
1774332908.335325,0.01000,-0.60000,0.59000,23.94000,5.93490,0.00070
1774332908.335325,0.00000,-0.57000,0.57000,23.94000,5.99780,0.00070
1774332908.335325,0.00000,-0.54000,0.55000,23.94000,6.06060,0.00070
1774332908.337327,-0.02000,-0.50000,0.52000,23.94000,6.12340,0.00070
1774332908.337327,-0.02000,-0.47000,0.49000,23.96000,6.18620,0.00070
1774332908.337327,-0.05000,-0.40000,0.46000,23.94000,6.24910,0.00070
1774332908.337327,-0.16000,-0.29000,0.46000,23.94000,0.02870,0.00070
1774332908.337327,-0.26000,-0.18000,0.44000,23.94000,0.09150,0.00070
1774332908.337327,-0.35000,-0.07000,0.42000,23.94000,0.15440,0.00070
1774332908.337327,-0.38000,-0.05000,0.43000,23.94000,0.21720,0.00070
1774332908.337327,-0.38000,-0.04000,0.42000,23.94000,0.28000,0.00070
1774332908.337327,-0.38000,-0.03000,0.41000,23.94000,0.34290,0.00070
1774332908.337327,-0.39000,-0.02000,0.41000,23.94000,0.40570,0.00070
1774332908.337327,-0.42000,-0.01000,0.44000,23.94000,0.46850,0.00070
1774332908.338344,-0.45000,-0.01000,0.47000,23.93000,0.53140,0.00070
1774332908.338344,-0.48000,-0.02000,0.50000,23.94000,0.59420,0.00070
1774332908.338344,-0.49000,-0.02000,0.52000,23.94000,0.65700,0.00070
1774332908.338344,-0.50000,-0.02000,0.53000,23.94000,0.71990,0.00070
1774332908.338344,-0.52000,-0.02000,0.55000,23.94000,0.78270,0.00070
1774332908.363664,-0.51000,-0.02000,0.54000,23.94000,0.84550,0.00070
1774332908.363664,-0.51000,-0.02000,0.53000,23.94000,0.90840,0.00070
1774332908.363664,-0.48000,-0.02000,0.50000,23.94000,0.97120,0.00070
1774332908.363664,-0.47000,0.00000,0.46000,23.96000,1.03400,0.00070
1774332908.363664,-0.45000,0.04000,0.41000,23.93000,1.09690,0.00070
1774332908.363664,-0.48000,0.15000,0.32000,23.94000,1.15970,0.00070
1774332908.363664,-0.50000,0.27000,0.22000,23.94000,1.22250,0.00070
1774332908.363664,-0.53000,0.41000,0.11000,23.96000,1.28540,0.00070
1774332908.363664,-0.55000,0.49000,0.05000,23.96000,1.34820,0.00070
1774332908.363664,-0.61000,0.57000,0.04000,23.94000,1.41100,0.00070
1774332908.363664,-0.63000,0.59000,0.03000,23.94000,1.47390,0.00070
1774332908.363664,-0.66000,0.62000,0.03000,23.94000,1.53670,0.00070
1774332908.363664,-0.67000,0.63000,0.03000,23.94000,1.59950,0.00070
1774332908.363664,-0.66000,0.64000,0.02000,23.94000,1.66240,0.00070
1774332908.363664,-0.64000,0.63000,0.01000,23.94000,1.72520,0.00070
1774332908.363664,-0.61000,0.62000,0.00000,23.94000,1.78800,0.00070
1774332908.372663,-0.58000,0.59000,-0.01000,23.94000,1.85090,0.00070
1774332908.372663,-0.52000,0.56000,-0.03000,23.94000,1.91370,0.00070
1774332908.372663,-0.47000,0.52000,-0.05000,23.96000,1.97650,0.00070
1774332908.372663,-0.36000,0.51000,-0.15000,23.94000,2.03930,0.00070
1774332908.372663,-0.25000,0.53000,-0.27000,23.94000,2.10220,0.00070
1774332908.372663,-0.15000,0.52000,-0.36000,23.93000,2.16500,0.00070
1774332908.372663,-0.06000,0.51000,-0.45000,23.94000,2.22780,0.00070
1774332908.372663,-0.04000,0.54000,-0.49000,23.94000,2.29070,0.00070
1774332908.372663,-0.04000,0.55000,-0.51000,23.94000,2.35350,0.00070
1774332908.372663,-0.02000,0.57000,-0.54000,23.94000,2.41630,0.00070
1774332908.372663,-0.01000,0.58000,-0.56000,23.94000,2.47920,0.00070
1774332908.372663,-0.01000,0.59000,-0.57000,23.94000,2.54200,0.00070
1774332908.372663,-0.01000,0.59000,-0.57000,23.94000,2.60480,0.00070
1774332908.372663,0.00000,0.60000,-0.59000,23.93000,2.66770,0.00070
1774332908.372663,0.00000,0.60000,-0.60000,23.94000,2.73050,0.00070
1774332908.372663,-0.01000,0.61000,-0.59000,23.94000,2.79330,0.00070
1774332908.408247,-0.01000,0.59000,-0.58000,23.94000,2.85620,0.00070
1774332908.408247,0.00000,0.56000,-0.55000,23.94000,2.91900,0.00070
1774332908.408247,0.00000,0.52000,-0.52000,23.94000,2.98180,0.00070
1774332908.408247,0.02000,0.47000,-0.49000,23.96000,3.04470,0.00070
1774332908.408247,0.09000,0.39000,-0.49000,23.96000,3.10750,0.00070
1774332908.408247,0.21000,0.27000,-0.49000,23.94000,3.17030,0.00070
1774332908.408247,0.30000,0.16000,-0.47000,23.94000,3.23320,0.00070
1774332908.408247,0.38000,0.06000,-0.45000,23.94000,3.29600,0.00070
1774332908.408247,0.41000,0.03000,-0.45000,23.94000,3.35880,0.00070
1774332908.408247,0.42000,0.03000,-0.45000,23.94000,3.42170,0.00070
1774332908.408247,0.41000,0.03000,-0.44000,23.94000,3.48450,0.00070
1774332908.408247,0.40000,0.03000,-0.44000,23.94000,3.54730,0.00070
1774332908.408247,0.41000,0.03000,-0.45000,23.94000,3.61020,0.00070
1774332908.408247,0.43000,0.04000,-0.48000,23.96000,3.67300,0.00070
1774332908.408247,0.46000,0.04000,-0.51000,23.94000,3.73580,0.00070
1774332908.408247,0.49000,0.03000,-0.52000,23.94000,3.79870,0.00070
1774332908.416291,0.51000,0.03000,-0.54000,23.94000,3.86150,0.00070
1774332908.416291,0.52000,0.01000,-0.53000,23.94000,3.92430,0.00070
1774332908.416291,0.52000,0.00000,-0.52000,23.96000,3.98720,0.00070
1774332908.416291,0.50000,0.00000,-0.50000,23.96000,4.05000,0.00070
1774332908.416291,0.47000,0.00000,-0.46000,23.94000,4.11280,0.00070
1774332908.416291,0.45000,-0.02000,-0.43000,23.94000,4.17570,0.00070
1774332908.416291,0.43000,-0.06000,-0.37000,23.94000,4.23850,0.00070
1774332908.416291,0.44000,-0.16000,-0.27000,23.94000,4.30130,0.00070
1774332908.416291,0.45000,-0.26000,-0.18000,23.94000,4.36410,0.00070
1774332908.416291,0.47000,-0.37000,-0.09000,23.94000,4.42700,0.00070
1774332908.416291,0.51000,-0.45000,-0.05000,23.96000,4.48980,0.00070
1774332908.416291,0.57000,-0.52000,-0.05000,23.94000,4.55260,0.00070
1774332908.416291,0.60000,-0.57000,-0.03000,23.94000,4.61540,0.00070
1774332908.416291,0.65000,-0.62000,-0.02000,23.94000,4.67830,0.00070
1774332908.416291,0.66000,-0.64000,-0.02000,23.94000,4.74110,0.00070
1774332908.416291,0.70000,-0.68000,-0.02000,23.96000,4.80390,0.00070
1774332908.417292,0.68000,-0.66000,-0.01000,23.94000,4.86680,0.00070
